name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money
过敏性鼻炎,"变态反应性鼻炎,变应性鼻炎",鼻,青壮年,无传染性,医保疾病,耳鼻喉科,气道过敏试验 鼻腔内镜 组胺吸入试验 [详细],鼻粘膜肿胀 打喷嚏 鼻塞 流清涕 鼻粘膜苍白水肿 [详细],哮喘 鼻窦炎 鼻炎 中耳炎 喉炎 [详细],药物治疗、免疫治疗、外科治疗 [详细],康乐鼻炎片 氯雷他定片 富马酸酮替芬滴... [详细],>30天,>30%,市三甲医院约（500-1000元）
脂肪肝,脂肝，肝癖，肝痞,肝,所有人群，肥胖人群，体质超重肥胖者占64%。,无传染性,医保疾病,肝病 消化内科,谷氨酸脱氢酶 血清谷草转氨酶 肝脏及胆囊叩诊 凝血酶原时间 肝、胆、胰、脾MRI [详细],肝肿大 肝区痛 疲劳 血脂异常 肝脏轻度脂肪变性 [详细],冠心病 肝硬化 贫血 弥散性血管内凝血 高血压 [详细],药物治疗、饮食疗法 [详细],多烯磷脂酰胆碱... 果糖二磷酸钠口... 注射用盐酸精氨... [详细],2-4个月,90%,市三甲医院约（3000 —— 8000元）
肺炎,下呼吸道感染，肺部感染性疾病,肺,所有人群,无传染性,医保疾病,呼吸内科,感染免疫检测 肺和胸膜叩诊 波顿格征 痰液的一般性状 痰液细菌培养 [详细],发烧 咳嗽 咳痰 湿啰音 小儿发热 [详细],心力衰竭 [详细],药物治疗 [详细],盐酸氨溴索片 头孢氨苄甲氧苄... 了哥王片 [详细],7-10天。,95%,市三甲医院约（1000-3000元）
阴囊湿疹,"绣球风,胞漏疮",阴囊 皮肤,成年男性，长期居住在潮湿的地区或房间的人,无传染性,医保疾病,男科 皮肤科,阴囊检查 [详细],丘疹 阴囊瘙痒 疱疹 皮肤干燥 阴囊上有白色小疙瘩 [详细],,药物治疗 [详细],地榆槐角丸 二妙丸 烧伤肤康液 [详细],2-4周,60%--70%(多伴有维生素b2的缺乏，故治疗中,
直肠癌,,肠,40岁以上男性,无传染性,医保疾病,肿瘤科 消化内科,肿瘤标志物 血清CA199 血清癌胚抗原 多药耐药基因 粪便吞噬细胞 [详细],大便变细形似铅笔 直肠疼痛 下消化道少量出血 排便不尽感 便血 [详细],腹膜炎 肠梗阻 休克 肠癌 [详细],手术治疗、放射治疗、化学治疗 [详细],卡培他滨片 去氧氟尿苷胶囊 抗癌平丸 [详细],2-4月,75%,
慢性鼻炎,,鼻,所有人群,无传染性,医保疾病,耳鼻喉科,鼻腔内镜 鼻中隔 [详细],鼻塞及反射性头痛 鼻内发痒 鼻塞 鼻屎多 鼻粘膜肿胀 [详细],暂无相关资料,药物治疗、针灸疗法 [详细],鼻炎康片 呋麻滴鼻液 鼻窦炎口服液 [详细],10-30天,50%,市三甲医院约（1000 —— 3000元
肺结核,肺结核病，结核病，结核，肺痨,肺,所有人群，中老年为主,有传染性,医保疾病,传染科 呼吸内科,胸腔积液微生物学检查 肺部检查 威廉征 比塞征 鲁塞尔征 胸廓检查 肺和胸膜叩诊 结核菌素皮内试验 痰液的一般性状 痰液免疫学检查 [详细],低烧 食欲减退 乏力 咳嗽 颜面潮红 [详细],气胸 肺气肿 慢性肺源性心脏病 肺曲菌病 结核性脓胸 [详细],化学治疗 [详细],盐酸氨溴索胶囊 盐酸氨溴索片 盐酸依普拉酮片 [详细],3-6个月,79%,该病属于乙类多发传染病，一经确诊国家医院免费治疗;
甲亢,甲状腺功能亢进，瘿气,甲状腺,所有人群，大多数年龄在20～40岁，一般女性比男性发病率高,无传染性,非医保疾病,内分泌科,基础代谢 基础胃液分泌量 甲状腺吸碘试验 血清甲状腺球蛋白 甲状腺显像 [详细],高代谢征群 突眼症 甲状腺肿大 消瘦 热结节 [详细],房室传导阻滞 窦性心动过速 冠心病 心肌炎 肺水肿 [详细],一般治疗、药物治疗、手术治疗、放射性碘治疗、甲状腺介入栓塞治疗、中医治疗 [详细],抑亢丸 甲亢灵片 维生素B1片 [详细],3-12月,>70%,市三甲医院约（5000—8000元）
坐骨神经痛,偏痹,周围神经系统 臀部,孕妇，中老年人,无传染性,医保疾病,神经内科 骨科,深反射检查 MRI 血清类风湿因子 踝反射 直腿抬高加强试验 [详细],背部酸痛 腰背的持续隐痛 小腿酸痛 腰部僵直感 臀部闪电疼痛 [详细],腰椎间盘突出 [详细],药物疗法、物理治疗 [详细],普瑞巴林胶囊 布洛芬乳膏 维生素B1片 [详细],1个月,60%,
骨质增生,"增生性骨关节炎,退变性关节病,老年性关节炎,肥大性关节炎",骨,中老年人群,无传染性,医保疾病,骨科 中医科,外科检查 脊柱活动度 骨关节及软组织CT 骨显像 [详细],膝盖长骨刺 关节肿痛 脚后跟长骨刺 骨增粗 颈背疼痛 [详细],暂无相关资料,药物治疗、物理疗法 [详细],腰痛宁胶囊 单氯芬那酸片 壮腰消痛液 [详细],14天(手术治疗周期14天),84%,市三甲医院约（1000 —— 3000元）
宫外孕,异位妊娠,输卵管 卵巢,孕龄女性,无传染性,医保疾病,产科 妇科,盆腔和阴道B超 盆腔CT 盆腔充气造影 产科B超 尿HCG [详细],孕早期腹痛 妊娠时伴有腹痛的阴道流血 异位妊娠 急性腹痛 阴道出血 [详细],休克 盆腔炎 宫外孕 慢性盆腔炎 人流后妇科病 [详细],药物治疗、手术治疗 [详细],米索前列醇片 产复康颗粒 桂枝茯苓胶囊 [详细],10-30天,82%,
附件炎,"输卵管炎,卵巢炎，输卵管卵巢炎",卵巢 输卵管,女性,无传染性,医保疾病,妇科 中医科,子宫及附件检查 阴道清洁度 白带常规 子宫与附件肿块 子宫输卵管造影 [详细],白带增多 下腹疼痛 性交疼痛 下腹坠胀 腰骶部酸痛 [详细],不孕症 [详细],西医治疗、中医治疗 [详细],金刚藤糖浆 花红颗粒 康妇消炎栓 [详细],10天,80%,
粉刺,"痤疮,青春痘,暗疮,暗疮,米疮,青春籽",皮肤,青年 ，青春期的男女性朋友为多,无传染性,医保疾病,皮肤科 中医科,皮肤与组织寄生虫的病原检查 [详细],角栓 囊肿 丘疹 脓疱 皮肤油脂过多 [详细],色素斑 [详细],药物治疗、物理治疗 [详细],维胺酯维E乳膏 过氧苯甲酰凝胶 过氧苯甲酰乳膏 [详细],1-2个月,85%,
灰指甲,甲真菌病,手部 足部,糖尿病、免疫低下、营养不良、年迈等群体,有传染性,非医保疾病,皮肤科 中医科,真菌培养 皮肤真菌镜检 [详细],指(趾)甲增厚 黄指甲 指甲有红色或黑色斑点 指甲类似云母 指甲易碎 [详细],甲沟炎 [详细],药物治疗 [详细],足光散 环吡酮胺乳膏 盐酸特比萘芬片 [详细],3-6个月,60%-80%,市三甲医院约（500-1000元）;
精索静脉曲张,静脉曲张,睾丸,青壮年，大多数左侧发病，肾肿瘤压迫或静脉瘤栓阻塞压迫,无传染性,医保疾病,男科 泌尿外科,精液检查 睾丸活检 阴囊超声检查 [详细],阴囊坠胀痛 阴囊肿大 阴囊下坠 精索增粗肿胀 输精管变粗 [详细],暂无相关资料,药物治疗、手术治疗 [详细],曲克芦丁颗粒 七叶皂苷钠片 黄精赞育胶囊 [详细],2-4月,85%,市三甲医院约（3000 —— 5000元
心肌梗塞,"心肌梗死,心梗",心脏,中老年人,无传染性,医保疾病,心血管内科 心胸外科,侧卧位肺灌注显像 心电图 多普勒超声心动图 二维超声心动图 血清肌酸激酶同工酶 [详细],胸骨后疼痛 左心衰竭 右心衰竭 心慌气短 心音异常 [详细],猝死 二尖瓣关闭不全 肩-手综合征 肺炎 胸膜炎 [详细],药物治疗 [详细],福辛普利钠片（... 华法林钠片 阿西美辛胶囊 [详细],7-10天,30%,
高脂血症,高脂血，血脂过多,血液血管,肥胖者,无传染性,医保疾病,内科 内分泌科,血流变学检查 红细胞流变特性 血液黏度 血清载脂蛋白CⅢ 血清载脂蛋白CⅠ [详细],血管硬化 黄色结节 血压高 不稳定性心绞痛 糖尿 [详细],心肌梗塞 颈动脉狭窄 冠心病 肝硬化 脂肪肝 [详细],饮食治疗、药物治疗 [详细],奥利司他片 瑞舒伐他汀钙片 烟酸片 [详细],1-3个月,25%,
包皮过长,包皮包茎阴茎,阴茎,男性，主要是成年男性为多,无传染性,医保疾病,男科,阴茎检查 包皮包茎检查 [详细],性交困难 龟头瘙痒 包皮粘连 器质性早泄 痛性阴茎勃起 [详细],前列腺炎 男性不育 [详细],手术治疗 [详细],一次性使用包皮... 一次性包皮环切... 一次性使用包皮... [详细],10-15天,99%(手术治疗),
水痘,水花，水疱,皮肤,所有人，大多是儿童,有传染性,医保疾病,传染科 皮肤科,补体结合试验 皮肤涂片显微镜检查 病毒感染免疫检测 淋巴细胞计数 [详细],发烧 水泡 水痘结痂 疱疹 斑疹 [详细],癫痫 视神经炎 心肌炎 丹毒 蜂窝织炎 [详细],一般治疗、抗病毒治疗、免疫制剂、并发症治疗 [详细],盐酸伐昔洛韦片 阿昔洛韦乳膏 盐酸伐昔洛韦颗... [详细],7-14天,95%,市三甲医院约（100-500元）;
胃溃疡,慢性溃疡,胃,男性发病率明显高于女性,无传染性,医保疾病,胃肠外科 消化内科,幽门螺旋杆菌的免疫学检测 C－14呼气检测仪＋呼气检测口袋 免疫印迹技术 尿素酶试验 幽门螺旋杆菌血清学测试 [详细],食欲下降 胃热疼痛 上腹不适 消化不良 胃酸过多 [详细],幽门梗阻 胃溃疡性穿孔 胃溃疡出血 胃癌 [详细],中医治疗、西医治疗、手术治疗 [详细],康复新液 盐酸雷尼替丁胶... 枸橼酸铋钾颗粒 [详细],8-12周,60-70%,市三甲医院约（3000 —— 5000元
类风湿性关节炎,"类风湿关节炎,类风湿,类风湿病,尪痹",关节 免疫系统,女性高于男性，女性是男性的2～3倍，一般是20-50岁女性。,无传染性,医保疾病,风湿科 骨科,血浆因子XIII缺乏筛选试验 关节检查 风湿病化验检查项目 病毒感染免疫检测 血清类风湿因子 [详细],晨僵 关节疼痛 关节肿胀 小腿寒冷痠痛 骨压痛 [详细],口腔溃疡 脱臼 库欣综合征 老年人泌尿系统感染 肺炎 [详细],药物治疗 [详细],双蚁祛湿通络胶... 腰痛宁胶囊 尼美舒利分散片 [详细],1-2个月,60%,市三甲医院约（1000 —— 3000元）
手足口病,小儿手足口病,全身,5岁以下儿童,有传染性,医保疾病,儿科 传染科,,口唇疱疹 口痛 水泡 丘疹 低烧 [详细],心肌炎 肺水肿 过敏性紫癜 脑膜炎 肺炎 [详细],药物治疗 [详细],复方芩兰口服液 板蓝根颗粒 清热解毒片 [详细],7-14天,95%,市三甲医院约（3000 —— 5000元）;
糖尿病,消渴,胰腺 全身,四十岁以上的中年人,无传染性,医保疾病,内分泌科 老年科,血糖 血脂 腰臀围比例 尿葡萄糖 葡萄糖可的松耐量试验 [详细],多饮 多尿 多食 消瘦 糖尿 [详细],糖尿病乳酸性酸中毒 高渗性非酮症性糖尿病昏迷 糖尿病肾病 糖尿病足 妊娠合并糖尿病 [详细],药物治疗、饮食疗法、运动治疗、心理治疗 [详细],糖脉康颗粒 降糖宁胶囊 糖尿乐胶囊 [详细],>120天(需要终身治疗),药物可控制，不易根治,市三甲医院约1000-3000元
脑梗死,脑梗塞,颅脑 血液血管,为50～60岁以上的人群，常有动脉粥样硬化、高血压、风心病、冠心病或糖尿病，以及吸烟,无传染性,非医保疾病,神经内科,颅脑CT 颅脑MRI 脑脊液一般性状 尿常规 便常规 [详细],神志不清 脑干梗塞 桥脑梗塞 偏瘫 感觉障碍 [详细],褥疮 猝死 脑瘫 癫痫 尿路感染 [详细],药物治疗 [详细],羟乙基淀粉 血塞通泡腾片 果糖二磷酸钠胶... [详细],1-2年,60%,
前列腺炎,前列腺精囊炎,前列腺,青壮年时期以及成年男性，性活动频繁,无传染性,医保疾病,男科 泌尿外科,直肠指检 前列腺指检 前列腺B超 前列腺液显微镜检查 精液和前列腺液检查 [详细],尿频 尿急 尿痛 夜尿增多 尿道烧灼感 [详细],感冒 附睾炎 早泄 神经官能症 精囊炎 [详细],药物治疗（抗生素治疗）、前列腺按摩、物理治疗（红光理疗） [详细],普乐安片 野菊花栓 谷丙甘氨酸胶囊 [详细],>120天,40%,市三甲医院约一般在800--3000元
霉菌性阴道炎,"念珠菌性阴道炎,真菌性阴道炎",阴道,"女性,大量使用抗生素 ，妊娠期，糖尿病，应用激素",无传染性,医保疾病,妇科,白带常规 白带检查 阴道分泌物涂片 真菌培养 阴道清洁度 [详细],豆腐渣样白带 排尿时外阴灼热、瘙痒或疼痛 白带增多 外阴烧灼刺激感 外阴肿胀 [详细],宫颈炎 盆腔炎 阴道炎 滴虫性阴道炎 早产 [详细],药物治疗 [详细],抗宫炎片 保妇康栓 妇科千金片 [详细],7-10天,95%(一般经过系统治疗后98%以上患者都能治,
早泄,泄泻,男性生殖,青年，中年男性，婚前过度手淫，青年时代性冲动或者过于频繁的男性朋友。,无传染性,医保疾病,男科 生殖健康,阴茎检查 前列腺B超 前列腺检查 精液和前列腺液检查 不育男性体格检查 [详细],器质性早泄 男子性功能障碍 心理性性功能障碍 遗精滑泄 [详细],,药物治疗、心理治疗 [详细],他达拉非片 前列回春胶囊 强肾片 [详细],>120天,>30%,
高血压,高血压病，风眩,血液血管 心脏,中老年人，平时钠盐的摄入量过多的人，父母患有高血压者，摄入动物脂肪较多者，长期饮,无传染性,医保疾病,心血管内科 心胸外科,检眼镜检查法 高钠试验 伯尔格试验 舒张压 寒冷性升压试验 [详细],血压高 头痛 头胀 头晕 心悸 [详细],视网膜病变 主动脉瓣关闭不全 高血压危象 动脉瘤 主动脉夹层 [详细],药物治疗、饮食疗法 [详细],奥美沙坦酯片 氯沙坦钾氢氯噻... 盐酸阿罗洛尔片 [详细],1-3个月,0.0001%(终身性疾病),市三甲医院约200-5000元
宫颈糜烂,宫颈柱状上皮异位，子宫糜烂,子宫,女性，多见于青春期、生育年龄妇女雌激素分泌旺盛者、口服避孕药或妊娠期,无传染性,非医保疾病,妇科,宫颈检查 妇科炎症检查 外阴部妇科常规检查 电子阴道镜 TCT [详细],白带增多 下腹坠胀 宫颈黏液脓性分泌物 脓性分泌物 下腹痛 [详细],难产 不孕症 [详细],药物治疗、手术治疗 [详细],抗宫炎片 消糜阴道泡腾片 保妇康栓 [详细],10-30天,80%,
胆囊结石,结石性胆囊炎，胆结石,胆,发病的高峰年龄为40～50 岁,无传染性,医保疾病,肝胆外科,静脉胆道造影 口服法胆道造影 T管造影 肝、胆、脾CT 胆道造影 [详细],右上腹压痛 右上腹痛 胆绞痛 胆囊扣痛 胆道梗阻 [详细],尿道癌 人流后妇科病 女性尿道癌 宫颈糜烂 盆腔炎 [详细],手术治疗 [详细],胆舒胶囊 胆石片 茴三硫片 [详细],1-2周,98%,市三甲医院约（5000-10000元）
抑郁症,忧郁症,心理,成人,无传染性,医保疾病,精神病科 心理咨询,脑脊液的化学检查 颅脑MRI 颅脑超声检查 颅脑CT 脑葡萄糖代谢显像 [详细],情绪低落 焦虑 躁郁样 入睡困难 严重情绪障碍 [详细],便秘 睡眠障碍 焦虑症 [详细],药物治疗、心理治疗 [详细],舒肝解郁胶囊 解郁丸 盐酸帕罗西汀片 [详细],30天,70%,市三甲医院约（3000-5000元）
慢性支气管炎,"慢支,气管炎，久咳",肺,所有人群 ，大多是成年男性,无传染性,医保疾病,呼吸内科,呼气试验 血锑 WBC 痰液常规检查 痰液免疫学检查 [详细],咳嗽 咳痰 气短 喘息 哮鸣音 [详细],肺气肿 哮喘 百日咳 咯血 肺癌 [详细],药物治疗 [详细],支气管炎片 愈美甲麻敏糖浆 金贝痰咳清颗粒 [详细],10-30天,90%,市三甲医院约（3000-5000元）
淋病,淋菌性尿道炎,全身 女性生殖,性活跃人群，成年男女性,有传染性,医保疾病,性病科 传染科,淋球菌免疫学检测 淋菌培养 淋病细菌学检测 白带检查 [详细],尿道局部肿胀 尿道口痒 尿道口有白膜形成 白色黏液状尿 脓尿 [详细],盆腔炎 腹膜炎 前列腺炎 附睾炎 尿道炎 [详细],局部治疗、全身治疗、双方同时治疗 [详细],诺氟沙星片 十三味菥蓂丸 盐酸左氧氟沙星... [详细],10-30天,90%,医院不同，收费标准也不尽一致，三级甲等医院约2000-20000元;
性交疼痛,交媾困难，性感不快，性交困难,女性生殖 盆腔,成年女性,无传染性,非医保疾病,妇科,盆腔和阴道B超 内分泌检查 血清卵泡刺激素 血清鳞状上皮细胞癌抗原 产科B超 [详细],紧张 焦虑 湿疣 子宫内膜异位 瘙痒 [详细],性冷淡 尿道癌 人流后妇科病 女性尿道癌 宫颈糜烂 [详细],心理治疗、中医治疗、手术治疗 [详细],尼尔雌醇 替勃龙 复方八维甲睾酮... [详细],3-6月,60%,
白癜风,"白癜,白驳风，白斑风，皮肤白斑",皮肤,所有人群,无传染性,医保疾病,皮肤科 中医科,皮肤颜色 皮肤试验 [详细],色素异常 色素性皮损 色素脱失 额部白斑 皮肤硬化 [详细],药疹 带状疱疹 贫血 重症肌无力 银屑病 [详细],药物治疗 [详细],白癜风胶囊 盐酸氮芥酊 甲氧沙林片 [详细],1-3个月,10%(早期白癜风是可以治愈的),
胃癌,癍瘕积聚,胃,50岁～80，男女之比2比1，农村的发病率是城市的1.6倍,无传染性,医保疾病,肿瘤科 消化内科,胃部检查 肿瘤筛查 糖脂类肿瘤标志物 肿瘤标志物 气钡双对比造影 [详细],肚子疼 进行性消瘦 上腹不适 胃脘饱胀 呕血 [详细],幽门梗阻 腹膜炎 黄疸 消化道出血 肠瘘 [详细],化疗、放疗、手术以及中医中药治疗 [详细],云芝糖肽胶囊 复方天仙胶囊 替加氟片 [详细],30天,10%(早起发现很重要),
生殖器疱疹,阴部疱疹,女性生殖 男性生殖,所有人群，成年人为主,有传染性,医保疾病,性病科 传染科,单纯疱疹病毒 [详细],疱疹 脓疱 阴茎疼痛 白色恶露 阴囊瘙痒 [详细],,药物治疗 [详细],泛昔洛韦片 重组人干扰素α... 阿昔洛韦乳膏 [详细],10-30天,70%,市三甲医院约（3000 —— 5000元）;
包皮龟头炎,包皮炎，包皮阴茎头炎,阴茎,成年男性，多半是中年男,无传染性,医保疾病,男科 泌尿外科,阴茎检查 包皮包茎检查 血清卵泡刺激素 血清鳞状上皮细胞癌抗原 产科B超 [详细],珍珠丘疹 阴茎表浅性溃疡 龟头瘙痒 阴部皮肤潮红 阴部灼热 [详细],尿道癌 人流后妇科病 女性尿道癌 宫颈糜烂 盆腔炎 [详细],药物治疗 [详细],高锰酸钾 硼酸洗液 醋酸氟轻松搽剂 [详细],7-14天,90%,
腰椎间盘突出,椎间盘突出，腰间盘突出,脊柱 腰部,20-50岁男性,无传染性,医保疾病,骨科 中医科,椎板间隙显微内窥镜 胸腹部垫枕试验 脊柱压痛与叩击痛 脊柱检查 脑膜刺激征 [详细],椎间盘退行性变 腰脊椎疼痛 惧站立，喜依托 胸腰段及腰椎前凸消失 根性坐骨神经痛 [详细],坐骨神经痛 椎间隙感染 血管损伤 瘫痪 肉痉 [详细],西医治疗、中医治疗 [详细],腰痛宁胶囊 骨筋丸胶囊 腰痹通胶囊 [详细],1-3个月,>30%,市三甲医院约（3000 —— 5000元）
肺癌,"支气管癌,支气管肺癌",肺,４０岁以上男性，抽烟者,无传染性,医保疾病,肿瘤科 呼吸内科,肺部检查 痰培养 支气管镜 胸部平片 胸部磁共振 [详细],肺部肿块 痰有恶臭味 肩背痛 咳嗽 咳痰 [详细],慢性支气管炎 肺气肿 冠心病 肺水肿 肺炎 [详细],手术治疗、化学治疗 [详细],益肺清化膏 益肺清化颗粒 仙蟾片 [详细],1-2个月,40%,
鼻窦炎,"鼻渊,鼻炎",鼻,所有人群,无传染性,医保疾病,耳鼻喉科,鼻窦检查 耳鼻咽喉CT 鼻腔内镜 鼻咽部MRI 鼻腔检查 [详细],鼻窦压痛 脓鼻涕增多且不易擤尽 深侧鼻塞 鼻塞及反射性头痛 清晨或上午头痛 [详细],视神经炎 球后视神经炎 骨折 鼻炎 神经炎 [详细],药物治疗、手术治疗 [详细],加替沙星注射液 去氧肾上腺素溴... 通窍鼻炎颗粒 [详细],120天,80%,
脚气,香港脚，脚癣,足部 皮肤,成人，大部分是男性,有传染性,非医保疾病,皮肤科 中医科,尿维生素B1 [详细],真菌感染 脚臭 手、足部厚壁水疱 干性脚气 水疱或大疱损害 [详细],,药物治疗 [详细],盐酸特比萘芬乳... 冰黄肤乐软膏 复方苦参水杨酸... [详细],7-21天,80%,市三甲医院约（50-100元）;
肩周炎,"肩关节组织炎,冻结肩,肩凝症，肩痹",肩部,所有人群，一般都是办公的人。,无传染性,非医保疾病,骨科 中医科,肩部压痛 引颈试验 骨关节及软组织CT 冈上肌肌腱断裂试验 杜加斯征 [详细],肩关节活动受限 肩膀酸疼 肩部运动受限 肩痛 撞击征 [详细],骨关节炎 [详细],药物治疗、物理治疗、手术治疗 [详细],腰痛宁胶囊 牛痘疫苗接种家... 奥沙普秦分散片 [详细],7-15天,80%,市三甲医院约（1000 —— 2000元）
乳腺癌,乳癌,乳房,45-55岁女性，绝经期过迟，超过55岁尚未绝经的女性。,无传染性,医保疾病,肿瘤科 乳腺外科,外科检查 乳房摄片 肿瘤标志物 血清胎儿碱性蛋白 淋巴显像 [详细],乳房肿块 乳腺癌的远处转移 乳晕深部可扪及肿块 腋下淋巴肿大 胸大肌外侧缘处如花生米大小的肿块 [详细],乳腺结核 贫血 积聚 肿胀 湿疹 [详细],西医治疗、中医治疗、手术治疗 [详细],氯氧喹胶囊 阿那曲唑片 复方氟尿嘧啶口... [详细],>120天(手术治疗配合放化疗),>20%(手术治疗),
痔疮,痔核，痔病，痔疾,肛门,久坐不动，妊娠孕妈妈，暴饮暴食，蹲厕看报人群,无传染性,医保疾病,肛肠外科,肛门指检 [详细],静脉曲张性外痔 痔出血 便血鲜红 排便障碍 炎性外痔 [详细],缺铁性贫血 贫血 内痔 混合痔 外痔 [详细],药物治疗、饮食疗法、手术治疗 [详细],肛泰 麝香痔疮栓 肛泰栓 [详细],4-8周,80%,市三甲医院约（1000 —— 2000元
子宫肌瘤,子宫良性肿瘤，纤维肌瘤，子宫纤维瘤,子宫,35岁以上的妇女,无传染性,医保疾病,妇科 肿瘤科,盆腔和阴道B超 妇科B超 子宫输卵管造影 肿瘤前哨淋巴结显像 磁共振血管造影 [详细],阴道分泌物增多 白带增多 腰骶部酸痛 下腹部包块 非怀孕的下腹增大 [详细],盆腔炎 卵巢囊肿 绝经 卵巢肿瘤 [详细],药物治疗、手术治疗 [详细],丹鳖胶囊 复方醋酸棉酚片 宫瘤宁片 [详细],30天-60天,90%,市三甲医院约（5000- 10000元）
小阴茎,,阴茎,男性,无传染性,非医保疾病,男科,阴茎检查 颅脑CT 脑垂体CT 放射性核素肾扫描 染色体核型分析 [详细],阴茎短 睾丸发育不全 痛性阴茎勃起 男子性功能障碍 无睾丸 [详细],阳痿 早泄 [详细],药物治疗、手术治疗 [详细],枸橼酸氯米芬胶... 补肾斑龙片 壮阳春胶囊 [详细],手术治疗周期15天,治愈率89%,
乳腺增生,"乳房囊性增生病,乳腺小叶增生，乳腺增生症,乳腺结构不良症,乳痛症",乳房,30-50岁女性,无传染性,医保疾病,乳腺外科 妇科,乳房触诊 乳房检查 外科检查 乳腺检查 乳腺超声 [详细],乳腺隐痛 结节 囊肿 经期前乳房痛 腋窝痛 [详细],乳腺癌 月经不调 [详细],药物治疗、手术治疗 [详细],乳块消胶囊 乳增宁片 散结乳癖膏 [详细],1-3个月,20%-30%,
尖锐湿疣,"尖圭湿疣,生殖器疣,性病疣，肛门生殖器疣",女性生殖 男性生殖,性活跃人群,有传染性,医保疾病,性病科 传染科,HPV检查 醋酸白试验 [详细],湿疣 外阴鳞状上皮疣状增生 出血性丘疹 溃疡分泌物恶臭 乳头状肿物 [详细],梅毒 淋病 阴茎癌 外阴癌 疣 [详细],西医药物疗法、中医药物治疗、激光治疗 [详细],盐酸氨酮戊酸外... 阿昔洛韦乳膏 转移因子胶囊 [详细],30天,30%,市三甲医院约（5000 —— 10000元;
分泌性中耳炎,"胶耳,中耳炎,渗出性中耳炎,卡他性中耳炎,非化脓性中耳炎",耳,儿童。所有人群,无传染性,医保疾病,耳鼻喉科,耳廓检查 脑诱发电位 声阻抗 电测听 语言检查法 [详细],耳内发胀 耳道流脓 小儿发热 耳内疼痛 耳根部疼痛 [详细],粘连性中耳炎 鼓室硬化症 [详细],药物、手术治疗 [详细],克拉霉素片 过氧化氢溶液 罗红霉素胶囊 [详细],2-4周,90%,市三甲医院约（10000 —— 50000元）
阴虚火旺,,全身,青年人,无传染性,非医保疾病,中医科,,口干舌燥 舌尖红绛 五心烦热 易激惹 口鼻生疮 [详细],颅咽管瘤 口腔溃疡 脑血管瘤 脑囊虫病 垂体性侏儒症 [详细],药物治疗 [详细],龟芪参口服液 玉盘消渴片 知柏地黄丸 [详细],,100%,
老年性阴道炎,萎缩性阴道炎,阴道,老年女性,无传染性,医保疾病,妇科 老年科,阴道活检 白带常规 白带检查 子宫疾病自检 阴道病原体 [详细],急性阴道感染 膀胱阴道瘘 阴道干涩 阴道分泌物增多 性交疼痛 [详细],糖尿病并发泌尿系感染 泌尿生殖系真菌病 老年人泌尿系统感染 [详细],药物治疗 [详细],保妇康栓 甲硝维参阴道栓... 妇洁阴洗液 [详细],4-8周,65%-75%,
脂溢性皮炎,脂溢性湿疹，面部脂溢性皮炎,皮肤,成人及新生儿,无传染性,医保疾病,皮肤科 内分泌科,皮肤病的物理检查 真菌组织病理学 [详细],红斑鳞屑 油腻性鳞屑 鳞屑样痂皮 头皮结痂 丘疹 [详细],酒渣鼻 粉刺 脱发 [详细],药物治疗 [详细],酮康他索乳膏 哈西奈德乳膏 丙酸氯倍他索乳... [详细],3-6周,80%,市三甲医院约（500-1000元）
肾病综合征,"肾病变综合征,肾综，肾水，肾病",肾,所有人群,无传染性,医保疾病,肾内科 中医科,载脂蛋白A1\载脂蛋白B比值 血浆组织纤溶酶原活化物活性 血脂 检眼镜检查法 尿常规 [详细],蛋白尿 低蛋白血症 血浆胆固醇水平高 全身持续性水肿 高血脂性血管损害 [详细],肺栓塞 腹膜炎 尿路梗阻 血尿 贫血 [详细],一般治疗、对症治疗、中药治疗 [详细],雷公藤多苷片 甲泼尼龙片 转移因子胶囊 [详细],3个月,60%,市三甲医院约（5000-15000元）
股癣,,臀部 皮肤,青年人，男性多于女性,无传染性,医保疾病,皮肤科 中医科,皮肤真菌镜检 真菌培养 [详细],大腿内侧红斑 股部内侧靠近阴囊处的皮疹 腹股沟痒 鳞屑 瘙痒 [详细],暂无相关资料,药物治疗 [详细],硝酸咪康唑乳膏 硝酸咪康唑乳膏 硝酸咪康唑乳膏 [详细],3-5月,70%,市三甲医院约（3000 —— 5000元）
直肠息肉,,肠,男性较女性多见,无传染性,医保疾病,肛肠外科 消化内科,直肠镜 直肠指检 肛门指检 [详细],便血 脓血便 息肉 肛乳头肥大 息肉样损害 [详细],直肠癌 [详细],药物治疗、手术治疗 [详细],肠康片 止痢宁片 肠康胶囊 [详细],2周,外科手术治愈率约为85%,
支原体肺炎,"伊顿肺炎,伊顿氏肺炎,原发性非典型性肺炎，冷凝集阳性肺炎",肺,所有人群,无传染性,医保疾病,呼吸内科 传染科,痰液细菌培养 结核杆菌基因检测 痰液病原体 冷凝集试验 血支原体抗体 [详细],发作性咳嗽 头痛 周身不适 黏液脓性痰 气短 [详细],暂无相关资料,药物治疗、支持疗法 [详细],麦迪霉素片 白头翁止痢片 罗红霉素分散片 [详细],6-8周,60-80%,市三甲医院约（5000 —— 8000元）
